feature,importance,rank
operaciones_total,1587,1
operaciones_vs_roll_mean_12,897,2
operaciones_vs_roll_mean_3,859,3
operaciones_por_destino,819,4
operaciones_delta_1,816,5
carga_kg_por_operacion_lag_3,744,6
pasajeros_total_roll_mean_12,603,7
dewpoint_depression_c,530,8
latitude_deg,529,9
meteo_adverso_score_roll_mean_12,526,10
viento_medio_kt,523,11
pasajeros_por_operacion_lag_12,477,12
temp_std_c,451,13
visibilidad_std_sm,444,14
dewpoint_media_c,418,15
n_destinos_total_lag_12,410,16
longitude_deg,399,17
cobertura_metar_ratio_lag_12,377,18
prop_niebla,374,19
n_empresas_llegada,364,20
meteo_adverso_score_lag_3,319,21
operaciones_otras,306,22
visibilidad_rango_sm,293,23
meteo_adverso_score_lag_1,278,24
meteo_adverso_score_lag_2,274,25
temp_max_c,267,26
prop_lluvia,243,27
viento_max_kt,219,28
prop_tormenta,205,29
n_metar_esperados_mes,174,30
historial_lag_3_disponible,167,31
temp_min_c,155,32
rafaga_max_kt,146,33
prop_rafaga,91,34
prop_viento_fuerte,61,35
historial_lag_12_disponible,29,36
tiene_od_mes,0,37
historial_lag_1_disponible,0,38
